Index,Year,Month,region,property_type,median_dom,median_sale_price
7848,2014,12,Merced County,Condo/Co-op,59.0,75000.0
4031,2014,5,Glenn County,Multi-Family (2-4 Unit),10.0,75000.0
4540,2014,1,Kern County,Condo/Co-op,27.0,75000.0
5698,2019,4,Lassen County,Single Family Residential,159.0,75000.0
11816,2012,8,Sacramento County,Condo/Co-op,66.0,75000.0
5697,2019,4,Lassen County,All Residential,159.0,75000.0
15046,2017,8,San Joaquin County,Townhouse,13.0,75000.0
20597,2015,5,Tehama County,Condo/Co-op,46.0,75000.0
6568,2017,8,Madera County,Condo/Co-op,43.0,75000.0
6388,2013,3,Madera County,Multi-Family (2-4 Unit),58.0,75000.0
11804,2012,5,Sacramento County,Condo/Co-op,45.0,75000.0
4564,2014,6,Kern County,Condo/Co-op,21.0,75000.0
11820,2012,8,Sacramento County,Townhouse,50.0,75500.0
20344,2017,3,Sutter County,Condo/Co-op,0.0,75500.0
18713,2013,2,Solano County,Condo/Co-op,15.0,75750.0
4435,2012,1,Kern County,Condo/Co-op,36.0,75750.0
4850,2019,9,Kern County,Townhouse,22.0,76000.0
4459,2012,6,Kern County,Townhouse,140.0,76000.0
3579,2014,6,Fresno County,Condo/Co-op,70.0,76000.0
3557,2013,12,Fresno County,Condo/Co-op,38.0,76000.0
18676,2012,5,Solano County,Condo/Co-op,17.0,76000.0
4497,2013,3,Kern County,Condo/Co-op,25.0,76000.0
3501,2012,10,Fresno County,Condo/Co-op,33.0,76500.0
7856,2015,2,Merced County,Multi-Family (2-4 Unit),159.0,76500.0
4593,2015,1,Kern County,Condo/Co-op,65.0,76500.0
7728,2012,5,Merced County,Condo/Co-op,127.0,77000.0
22698,2016,2,Yuba County,Multi-Family (2-4 Unit),0.0,77000.0
8228,2021,7,Modoc County,All Residential,305.0,77000.0
8227,2021,7,Modoc County,Single Family Residential,305.0,77000.0
19719,2013,7,Stanislaus County,Condo/Co-op,7.0,77000.0
11926,2014,6,Sacramento County,Townhouse,20.0,77000.0
11880,2013,8,Sacramento County,Townhouse,55.0,77000.0
14833,2013,10,San Joaquin County,Condo/Co-op,25.0,77250.0
4528,2013,10,Kern County,Condo/Co-op,11.0,77500.0
5217,2012,3,Lake County,Townhouse,137.0,77750.0
6348,2012,4,Madera County,Condo/Co-op,85.0,77900.0
15040,2017,7,San Joaquin County,Townhouse,157.0,78000.0
18389,2014,6,Shasta County,All Residential,30.0,78000.0
11886,2013,10,Sacramento County,Townhouse,17.0,78000.0
18390,2014,6,Shasta County,Single Family Residential,30.0,78000.0
14815,2013,6,San Joaquin County,Condo/Co-op,15.0,78000.0
8782,2020,1,Monterey County,Multi-Family (2-4 Unit),248.0,78500.0
841,2013,4,Amador County,Townhouse,48.0,78500.0
18681,2012,6,Solano County,Condo/Co-op,32.0,78500.0
14904,2015,2,San Joaquin County,Condo/Co-op,58.0,78750.0
14823,2013,8,San Joaquin County,Townhouse,8.0,78750.0
4452,2012,5,Kern County,Multi-Family (2-4 Unit),31.0,79000.0
7596,2014,12,Mendocino County,Single Family Residential,73.0,79719.0
7595,2014,12,Mendocino County,All Residential,73.0,79719.0
1176,2012,4,Butte County,Condo/Co-op,97.0,79800.0
7713,2012,2,Merced County,Multi-Family (2-4 Unit),53.0,79900.0
7811,2014,3,Merced County,Condo/Co-op,121.0,80000.0
4514,2013,6,Kern County,Townhouse,124.0,80000.0
4043,2014,10,Glenn County,Multi-Family (2-4 Unit),47.0,80000.0
1984,2012,3,Colusa County,Single Family Residential,0.0,80000.0
1985,2012,3,Colusa County,All Residential,0.0,80000.0
18696,2012,10,Solano County,Condo/Co-op,16.0,80000.0
19871,2016,3,Stanislaus County,Townhouse,32.0,80000.0
4464,2012,7,Kern County,Multi-Family (2-4 Unit),35.0,80000.0
19704,2013,3,Stanislaus County,Condo/Co-op,43.0,80000.0
22841,2020,10,Yuba County,Condo/Co-op,0.0,80000.0
6404,2013,8,Madera County,Condo/Co-op,1528.0,80000.0
22067,2012,6,Yolo County,Multi-Family (2-4 Unit),259.0,80000.0
11788,2012,2,Sacramento County,Townhouse,44.0,80000.0
14827,2013,8,San Joaquin County,Condo/Co-op,18.0,80250.0
3541,2013,8,Fresno County,Condo/Co-op,16.0,80500.0
4444,2012,3,Kern County,Multi-Family (2-4 Unit),22.0,80500.0
4477,2012,10,Kern County,Condo/Co-op,55.0,80500.0
4606,2015,3,Kern County,Condo/Co-op,32.0,80750.0
20515,2012,2,Tehama County,Single Family Residential,0.0,81000.0
20402,2019,4,Sutter County,Condo/Co-op,0.0,81000.0
20516,2012,2,Tehama County,All Residential,0.0,81000.0
6458,2014,12,Madera County,Condo/Co-op,60.0,81000.0
7784,2013,8,Merced County,Condo/Co-op,333.0,81250.0
11830,2012,10,Sacramento County,Condo/Co-op,31.0,81450.0
14812,2013,5,San Joaquin County,Condo/Co-op,31.0,81500.0
1167,2012,2,Butte County,Townhouse,52.0,82250.0
6471,2015,4,Madera County,Condo/Co-op,13.0,82500.0
4434,2012,1,Kern County,Multi-Family (2-4 Unit),56.0,82500.0
19796,2014,11,Stanislaus County,Townhouse,77.0,82500.0
821,2012,7,Amador County,Townhouse,0.0,82750.0
14813,2013,5,San Joaquin County,Townhouse,29.0,83000.0
3508,2012,12,Fresno County,Condo/Co-op,32.0,83000.0
5017,2013,11,Kings County,Single Family Residential,210.0,83000.0
5016,2013,11,Kings County,All Residential,210.0,83000.0
14767,2012,8,San Joaquin County,Condo/Co-op,53.0,83500.0
3496,2012,9,Fresno County,Condo/Co-op,29.0,83500.0
14853,2014,2,San Joaquin County,Condo/Co-op,23.0,83500.0
20625,2016,7,Tehama County,Condo/Co-op,8.0,83500.0
11914,2014,3,Sacramento County,Townhouse,45.0,83750.0
4568,2014,7,Kern County,Condo/Co-op,44.0,84000.0
18661,2012,1,Solano County,Condo/Co-op,28.0,84500.0
18699,2012,11,Solano County,Condo/Co-op,22.0,84900.0
21317,2015,2,Tuolumne County,Single Family Residential,264.0,84944.0
21318,2015,2,Tuolumne County,All Residential,264.0,84944.0
4475,2012,10,Kern County,Multi-Family (2-4 Unit),25.0,85000.0
5241,2012,10,Lake County,Townhouse,173.0,85000.0
3570,2014,3,Fresno County,Condo/Co-op,53.0,85000.0
11813,2012,7,Sacramento County,Condo/Co-op,51.0,85000.0
7289,2012,8,Mariposa County,Townhouse,0.0,85000.0
4515,2013,7,Kern County,Condo/Co-op,34.0,85000.0
11802,2012,5,Sacramento County,Townhouse,85.0,85000.0
15199,2020,3,San Joaquin County,Townhouse,0.0,85000.0
4549,2014,3,Kern County,Condo/Co-op,70.0,85000.0
5050,2016,10,Kings County,Single Family Residential,1643.0,85000.0
5322,2014,11,Lake County,Multi-Family (2-4 Unit),86.0,85000.0
5051,2016,10,Kings County,All Residential,1643.0,85000.0
1221,2013,2,Butte County,Condo/Co-op,6.0,85000.0
19768,2014,5,Stanislaus County,Townhouse,18.0,85000.0
18682,2012,7,Solano County,Condo/Co-op,25.0,85000.0
4500,2013,3,Kern County,Townhouse,0.0,85000.0
5260,2013,5,Lake County,Condo/Co-op,27.0,85000.0
7760,2013,1,Merced County,Multi-Family (2-4 Unit),7.0,85000.0
1194,2012,8,Butte County,Condo/Co-op,48.0,85500.0
5230,2012,7,Lake County,Condo/Co-op,36.0,85750.0
6341,2012,2,Madera County,Condo/Co-op,50.0,85950.0
1767,2014,8,Calaveras County,Condo/Co-op,166.0,85989.0
4636,2015,10,Kern County,Condo/Co-op,45.0,86000.0
5128,2020,2,Kings County,Condo/Co-op,79.0,86000.0
7717,2012,3,Merced County,Multi-Family (2-4 Unit),107.0,86000.0
21299,2013,7,Tuolumne County,Townhouse,101.0,86000.0
3561,2014,1,Fresno County,Condo/Co-op,35.0,86000.0
21300,2013,7,Tuolumne County,All Residential,101.0,86000.0
20606,2015,10,Tehama County,All Residential,156.0,86000.0
20607,2015,10,Tehama County,Single Family Residential,156.0,86000.0
1998,2012,9,Colusa County,All Residential,0.0,87000.0
1997,2012,9,Colusa County,Single Family Residential,0.0,87000.0
11840,2012,12,Sacramento County,Condo/Co-op,18.0,87000.0
18672,2012,4,Solano County,Condo/Co-op,32.0,87250.0
15082,2018,3,San Joaquin County,Townhouse,29.0,87250.0
11822,2012,9,Sacramento County,Townhouse,42.0,87500.0
22865,2021,6,Yuba County,Condo/Co-op,0.0,87500.0
11807,2012,6,Sacramento County,Condo/Co-op,41.0,87650.0
11821,2012,9,Sacramento County,Condo/Co-op,49.0,87750.0
3976,2012,5,Glenn County,Multi-Family (2-4 Unit),9.0,87750.0
5251,2013,2,Lake County,All Residential,88.0,87750.0
20563,2014,1,Tehama County,All Residential,117.0,87900.0
20564,2014,1,Tehama County,Single Family Residential,117.0,87900.0
4653,2016,2,Kern County,Townhouse,25.0,88000.0
3612,2015,2,Fresno County,Condo/Co-op,71.0,88000.0
5675,2016,11,Lassen County,Single Family Residential,36.0,88000.0
3669,2016,4,Fresno County,Condo/Co-op,25.0,88000.0
5676,2016,11,Lassen County,All Residential,36.0,88000.0
10620,2012,9,Placer County,Townhouse,113.0,88250.0
3528,2013,5,Fresno County,Condo/Co-op,50.0,88500.0
